title,price,location,time,status,category,seller_nickname,description,image_count,chat_count,interest_count,view_count,manner_temperature,url
fossil 시계,"70,000원",대전 서구 둔산동,끌올 1시간 전,판매중,남성패션/잡화,bgk,스위스에서 사왔습니다. 시험착용만 해봤습니다.,9,0,7,119,37.6°C,https://www.daangn.com/kr/buy-sell/fossil-%EC%8B%9C%EA%B3%84-cbdye9fqb8gr/
Locpro 락프로 H60N 디지털 도어락 새제품,"54,000원",대전 서구 둔산동,끌올 1시간 전,판매중,디지털기기,웃자,Locpro 락프로 디지털 도어락 H60N 새 제품입니다 - 견고한 내구성을 가지고 있습니다 - 화재 감지 기능으로 화재 발생 시 경보를 울려 안전을 지켜줍니다 - 외부 환경 오염 차단 및 강화 소재의 견고한 구조로 되어있습니다 - 편리한 1회용 비밀번호 기능과 에티켓 기능이 있습니다. 번호전용 이지만 건물주 마스터번호 각각 설정할 수 있습니다. 추가설명입니다. 현재쿠팡 최저가 18만원 나와요~ 현장납품후 남은 7개 도매가로 선착순으로 나눠 드립니다.  구입시기는 25년 12월초에 구매하였으며 앞으로 무상as 1년 입니다. 사용설명서와 설치키트도 들어있어 누구나 드릴없이 설치할수 있으며 기존 노후된 도어락 철거후 단순히 조립하면 됩니다. 혹시 모르시면 유튜브에 검색하심 나오니 참고하세요~ PS 선착순 7명 입니다. 아직 싼타선물 못 받으신분 ^^ 제가 드릴께요~  단 네고문의는 정중히 거절하겠습니다. ㅡㅡ꾸벅 제가 도매로 받은 금액으로 드리니 참고해주세요~,11,6,7,194,44.0°C,https://www.daangn.com/kr/buy-sell/locpro-%EB%9D%BD%ED%94%84%EB%A1%9C-h60n-%EB%94%94%EC%A7%80%ED%84%B8-%EB%8F%84%EC%96%B4%EB%9D%BD-%EC%83%88%EC%A0%9C%ED%92%88-jbpaibk6yhqa/
키보드 키캡,"13,000원",대전 서구 둔산동,끌올 1시간 전,판매중,디지털기기,무야무야,"- 짭 키캡, 총 176개 이상없음(갯수 확인함), F13 x - 체리프러파일, PBT, 이중사출, 사용횟수 적어 번들거림 없는 최상상태 입니다(사용감은 있을수 있음) - 키캡이 많아 판매해요 - 중고거래 특성상 환불되지 않음, 고가의 물건이 아니라 비대면(문고리)거래합니다",6,0,0,152,41.7°C,https://www.daangn.com/kr/buy-sell/%ED%82%A4%EB%B3%B4%EB%93%9C-%ED%82%A4%EC%BA%A1-y2ju8acu425j/
키보드 키캡,"13,000원",대전 서구 둔산동,끌올 1시간 전,판매중,디지털기기,무야무야,"- 레이싱 짭 키캡, 구매당시 총 163개 이상없음(갯수 확인함), F13 x - 체리프로파일, PBT, 이중사출, 사용횟수 적어 번들거림 없는 최상상태 입니다(사용감은 있을수 있음) - 키캡이 많아 판매해요 - 중고거래 특성상 환불되지 않음, 고가의 물건이 아니라 비대면(문고리) 거래합니다",6,0,1,124,41.7°C,https://www.daangn.com/kr/buy-sell/%ED%82%A4%EB%B3%B4%EB%93%9C-%ED%82%A4%EC%BA%A1-n6cvonkobanw/
키보드 키캡,"13,000원",대전 서구 둔산동,끌올 1시간 전,판매중,디지털기기,무야무야,"- 블랙베이스, 화이트 포인트 키캡, 사진 참조, F13 x - 체리프로파일, PBT, 이중사출, 1회 빌드 후 탈착 보관중, 사용횟수 적어 번들거림 없는 최상상태 입니다(사용감은 있을수 있음) - 키캡이 많아 판매해요 - 중고거래 특성상 환불되지 않음, 고가의 물건이 아니라 비대면(문고리)거래합니다",5,1,6,154,41.7°C,https://www.daangn.com/kr/buy-sell/%ED%82%A4%EB%B3%B4%EB%93%9C-%ED%82%A4%EC%BA%A1-ormofi1e7u2q/
키보드 키캡,"13,000원",대전 서구 둔산동,끌올 1시간 전,판매중,디지털기기,무야무야,"- 짭 키캡, 총 192개 이상없음(갯수 확인함), F13 x - 체리프로파일, PBT, 이중사출, 사용횟수 적어 번들거림 없는 최상상태 입니다(사용감은 있을수 있음) - 키캡이 많아 판매해요 - 중고거래 특성상 환불되지 않음, 고가의 물건이 아니라 비대면(문고리)거래합니다",6,0,3,174,41.7°C,https://www.daangn.com/kr/buy-sell/%ED%82%A4%EB%B3%B4%EB%93%9C-%ED%82%A4%EC%BA%A1-q7a389czbmyg/
Crucial-삼성 DDR4 8GB 3200MHz 램 4개,"70,000원",대전 서구 둔산동,끌올 1시간 전,판매중,디지털기기,메타당근,"DDR4 8GB 3200MHz 램 판매합니다 - Crucial 2개, 삼성 2개, 총 4개입니다 - 데스크탑에 장착하여 사용하던 램입니다 - Crucial 램은 마이크론의 엄격한 품질 기준을 준수하여 제작되었으며, 안정적인 성능을 제공합니다 - 삼성 램은 뛰어난 호환성을 자랑하며, 다양한 시스템에서 안정적으로 작동합니다 - 정상작동 확인하였습니다. - 개당 7 만원 - 4개모두구매시 개당6만원 입니다.",5,0,4,222,46.1°C,https://www.daangn.com/kr/buy-sell/crucial-%EC%82%BC%EC%84%B1-ddr4-8gb-3200mhz-%EB%9E%A8-4%EA%B0%9C-v3yu78stiu7q/
키보드 키캡,"8,000원",대전 서구 둔산동,끌올 1시간 전,판매중,디지털기기,무야무야,"- 묻지마 키캡, 총 157개 이상없음(갯수 확인함), F13 x - 체리프로파일, PBT, 염료승화, 1회 빌드후 탈착 보관중, 알파열이 완전 흰색은 아님 - 키캡이 많아 판매해요 - 중고거래 특성상 환불되지 않음, 고가의 물건이 아니라 비대면(문고리)거래합니다",5,0,2,186,41.7°C,https://www.daangn.com/kr/buy-sell/%ED%82%A4%EB%B3%B4%EB%93%9C-%ED%82%A4%EC%BA%A1-ronuokiaipg7/
키보드 키캡,"8,000원",대전 서구 둔산동,끌올 1시간 전,판매중,디지털기기,무야무야,"- 화이트 키캡, 사진 참조, F13 x - 체리프러파일, PBT, 이중사출, 1회 빌드 후 탈착 보관중, 사용횟수 적어 번들거림 없는 최상상태 입니다(사용감은 있을수 있음) - 키캡이 많아 판매해요 - 중고거래 특성상 환불되지 않음, 고가의 물건이 아니라 비대면(문고리)거래합니다",5,0,5,355,41.7°C,https://www.daangn.com/kr/buy-sell/%ED%82%A4%EB%B3%B4%EB%93%9C-%ED%82%A4%EC%BA%A1-swyadenowfty/
"(상태좋음,급처!!)휠라x탬탬버린 콜라보 그래픽 후드티 L","4,000원",대전 서구 둔산동,끌올 1시간 전,판매중,남성패션/잡화,마라탕탕후루후루,구매후 몇번 안입어서 이염 하자없이 상태 아주 좋습니다! 뒷면 그래픽 디자인이 독특하고 귀여워요 문의주세요!!,9,0,1,29,89.4°C,https://www.daangn.com/kr/buy-sell/%EC%83%81%ED%83%9C%EC%A2%8B%EC%9D%8C-%EA%B8%89%EC%B2%98-%ED%9C%A0%EB%9D%BCx%ED%83%AC%ED%83%AC%EB%B2%84%EB%A6%B0-%EC%BD%9C%EB%9D%BC%EB%B3%B4-%EA%B7%B8%EB%9E%98%ED%94%BD-%ED%9B%84%EB%93%9C%ED%8B%B0-l-4ac5gmsaaddk/
얼모스트블루 이어폰 C타입,"15,000원",대전 서구 둔산동,끌올 1시간 전,판매중,디지털기기,호하하하,얼모스트블루 Snow Earphones C타입 이어폰입니다 핑크색입니다 이번주 배송온 새상품입니당,5,1,8,86,76.2°C,https://www.daangn.com/kr/buy-sell/%EC%96%BC%EB%AA%A8%EC%8A%A4%ED%8A%B8%EB%B8%94%EB%A3%A8-%EC%9D%B4%EC%96%B4%ED%8F%B0-c%ED%83%80%EC%9E%85-rvee2a5rwzhv/
갤럭시 s24울트라 256기가 실버,"750,000원",대전 서구 둔산동,1시간 전,판매중,디지털기기,민머리캡틴,정상해지 완료된 폰입니다!!  연락주세요!!,7,0,4,30,38.8°C,https://www.daangn.com/kr/buy-sell/%EA%B0%A4%EB%9F%AD%EC%8B%9C-s24%EC%9A%B8%ED%8A%B8%EB%9D%BC-256%EA%B8%B0%EA%B0%80-%EC%8B%A4%EB%B2%84-k585m59dj9nh/
메종프랑세즈 우산 새상품,"6,000원",대전 서구 둔산동,끌올 1시간 전,판매중,남성패션/잡화,당근당근,"- 촬영용으로 꺼낸 것 말고는 미사용 우산입니다. 총 2개 있으며 1개 당 가격입니다. - 사진에 보이는 모습에서, 세로 총 길이 32cm입니다. - 거래 시 상태 꼼꼼히 확인해주세요.  ⭐️대면거래만⭐️ 합니다! - 교환/환불❌, 문고리/택배❌",8,1,2,82,54.7°C,https://www.daangn.com/kr/buy-sell/%EB%A9%94%EC%A2%85%ED%94%84%EB%9E%91%EC%84%B8%EC%A6%88-%EC%9A%B0%EC%82%B0-%EC%83%88%EC%83%81%ED%92%88-tpriid8i2h39/
로케트 Plus Edition RP200-12 배터리,"70,000원",대전 서구 둔산동,끌올 2시간 전,판매중,디지털기기,얼죽아,"로케트 Plus Edition RP200-12 산업용 배터리 판매합니다. 12V 200AH 제품이에요. 제조일자는 22년 7월 14일입니다 전기실 안 전기함에서 상시충전중이던 배터리입니다. 가로 525mm 세로 281mm 높리 223mm입니다. 무게는 55kg이에요 모두 12.7V이상 측정됩니다! 대용량이라 캠핑, 낚시, 아웃도어 하시는분들도 추천드려요. 1개당 가격이에요. 거래는 오정동에서 가능합니다",7,16,33,1219,37.0°C,https://www.daangn.com/kr/buy-sell/%EB%A1%9C%EC%BC%80%ED%8A%B8-plus-edition-rp200-12-%EB%B0%B0%ED%84%B0%EB%A6%AC-o5be5zrpxu34/
삼성 외장하드 Y3 2TB HX-MK20Y3C,"120,000원",대전 서구 둔산동,끌올 2시간 전,판매중,디지털기기,땅꼬마,삼성 외장하드 Y3 2TB 모델입니다 모델명은 HX-MK20Y3C입니다 - 슬림하고 가벼운 디자인으로 휴대하기 편리합니다 - 데이터 보호 기능으로 안심하고 사용할 수 있습니다 케이스와 케이블 함께 드립니다 쿠팡에서 15만9천원에 구매했고 일주일지났습니다 사용도안한 세제품이에요! 필요해서 샀는데 필요가없어져서 판매해여 ㅠㅠ,9,3,8,89,36.5°C,https://www.daangn.com/kr/buy-sell/%EC%82%BC%EC%84%B1-%EC%99%B8%EC%9E%A5%ED%95%98%EB%93%9C-y3-2tb-hx-mk20y3c-u6r76mfbt3ks/
"갤럭시 a23 128gb 블랙, 화이트","100,000원",대전 서구 둔산동,2시간 전,판매중,디지털기기,잔소리쟁이,사무실에서 사용하던 폰 정리합니다!! 정상해지된 폰입니다!! 연락주세요! 개당 10만,6,1,2,30,41.3°C,https://www.daangn.com/kr/buy-sell/%EA%B0%A4%EB%9F%AD%EC%8B%9C-a23-128gb-%EB%B8%94%EB%9E%99-%ED%99%94%EC%9D%B4%ED%8A%B8-uirku8g8k4mg/
Mackage Moritz-X 블랙 패딩 40사이즈,"620,000원",대전 서구 둔산동,끌올 2시간 전,판매중,남성패션/잡화,당근도둑,맥케이지 모르츠 X 블랙 실버퍼 패딩입니다 사이즈는 40사이즈입니다 실착은 l-xl정도 됩니다! 네고 가능합니다  궁금하신건 사진 더 찍어서 보내줄수 있어요 편하게 연락주세요!,11,2,1,53,37.3°C,https://www.daangn.com/kr/buy-sell/mackage-moritz-x-%EB%B8%94%EB%9E%99-%ED%8C%A8%EB%94%A9-40%EC%82%AC%EC%9D%B4%EC%A6%88-szopsdkaeof5/
호식이두마리치킨 7천원 요기요 할인쿠폰,300원,대전 동구 대동,2시간 전,판매중,티켓/교환권,당근온도,"요기요 앱에서 호식이두마리치킨 주문 시 사용 가능한 7,000원 할인 쿠폰입니다 2월 11일(수)부터 2월 13일(금)까지 사용 가능합니다",5,0,0,5,75.5°C,https://www.daangn.com/kr/buy-sell/%ED%98%B8%EC%8B%9D%EC%9D%B4%EB%91%90%EB%A7%88%EB%A6%AC%EC%B9%98%ED%82%A8-7%EC%B2%9C%EC%9B%90-%EC%9A%94%EA%B8%B0%EC%9A%94-%ED%95%A0%EC%9D%B8%EC%BF%A0%ED%8F%B0-xe2724zwu59s/
아디다스 오리지널 맨투맨 (가격조정없음),"15,000원",대전 서구 둔산동,끌올 2시간 전,판매중,남성패션/잡화,스누피,"아디다스 Originals 투톤 맨투맨 L사이즈입니다  블루와 베이지컬러 두가지색상은 수직으로  절개하여 합친 스타일이고 현재는 단종된 시즌 한정판이었어요  아이들이 무채색옷을 조아해서. 거의몇번입지않고 보관만했고 서랍에 접어 넣어서 생긴 주름입니다 전체적으로 깨끗하지만 생활감,생활기스 있을수 있으니 예민하신분, 찔러보기, 보고 판단하고 입어보시겠다는분들, 반품 절대 사양합니다  최소한 채팅매너도 지켜주시고 당근페이로 선입금시 문고리거래만 하겠습니다 (대략 품은58/ 기장 71정도)",11,1,4,226,49.8°C,https://www.daangn.com/kr/buy-sell/%EC%95%84%EB%94%94%EB%8B%A4%EC%8A%A4-%EC%98%A4%EB%A6%AC%EC%A7%80%EB%84%90-%EB%A7%A8%ED%88%AC%EB%A7%A8-%EA%B0%80%EA%B2%A9%EC%A1%B0%EC%A0%95%EC%97%86%EC%9D%8C-9xfrpiu9qgy5/
샌디스크 익스트림 프로 듀얼 드라이브 2TB 미개봉,"225,000원",대전 서구 둔산동,끌올 2시간 전,판매중,디지털기기,pacosanta,샌디스크 익스트림 프로 듀얼 드라이브 2TB  - 미개봉 신품,5,0,5,94,47.6°C,https://www.daangn.com/kr/buy-sell/%EC%83%8C%EB%94%94%EC%8A%A4%ED%81%AC-%EC%9D%B5%EC%8A%A4%ED%8A%B8%EB%A6%BC-%ED%94%84%EB%A1%9C-%EB%93%80%EC%96%BC-%EB%93%9C%EB%9D%BC%EC%9D%B4%EB%B8%8C-2tb-%EB%AF%B8%EA%B0%9C%EB%B4%89-ynczcq47g22o/
(새상품)스투시 소다캔 기모후드티M,"65,000원",대전 서구 둔산동,끌올 2시간 전,판매중,남성패션/잡화,모찌언니,"스투시 소다캔 기모 후드티 멜란지 그레이 색상 새상품입니다 사진에서 보시는 것처럼 택도 그대로 달려있는 미개봉 새제품이에요 기모 안감으로 따뜻하고 편안하게 착용하기 좋으며, 스투시 특유의 스트릿 감성이 돋보이는 디자인입니다 어떤 코디에도 잘 어울리는 활용도 높은 아이예요. ☑️가단56총장68 병행수입정품 환불,교환❌ 인사.찌르기사절 네고,비매너❌ 불펌금지😩 노쇼차단합니다ㅜ 선입금우선거래 택배(당일택배) 저렴히 올린 금액이니  말도 안되는 에눌은 대화는 정중히 사양하겠습니다🙏 택배요청시 3천원 추가비용~",7,0,2,25,63.6°C,https://www.daangn.com/kr/buy-sell/%EC%83%88%EC%83%81%ED%92%88-%EC%8A%A4%ED%88%AC%EC%8B%9C-%EC%86%8C%EB%8B%A4%EC%BA%94-%EA%B8%B0%EB%AA%A8%ED%9B%84%EB%93%9C%ED%8B%B0m-ucvwzjg1ys5a/
에르메스 여성 가죽 장갑 블랙 당근합니다,"65,000원",대전 서구 둔산동,2시간 전,판매중,남성패션/잡화,새하얀빛으로,"도톰한 퍼 안감으로 보온성 좋아요 착용 안 하고 보관만 해서 상태 좋아요 스마트폰 터치 지원돼 외출 시 편해요",8,0,0,0,30.7°C,https://www.daangn.com/kr/buy-sell/%EC%97%90%EB%A5%B4%EB%A9%94%EC%8A%A4-%EC%97%AC%EC%84%B1-%EA%B0%80%EC%A3%BD-%EC%9E%A5%EA%B0%91-%EB%B8%94%EB%9E%99-%EB%8B%B9%EA%B7%BC%ED%95%A9%EB%8B%88%EB%8B%A4-pr9bw5erumf1/
삼성 64GB PC4-2666 서버램 메모리 DDR4 ECC 4개 남 일괄 190만원,"500,000원",대전 서구 둔산동,끌올 2시간 전,판매중,디지털기기,kimjang,"삼성 64GB PC4-2666V-L 4DRx4 ECC  서버용 메모리입니다 개인 서버/워크스테이션 업그레이드 탈착 제품입니다  4개  남았습니다 개당 500,000 만원 일괄시 190만원 더이상 네고 안받습니다.  택배시 우체국 착불",6,0,4,133,37.6°C,https://www.daangn.com/kr/buy-sell/%EC%82%BC%EC%84%B1-64gb-pc4-2666-%EC%84%9C%EB%B2%84%EB%9E%A8-%EB%A9%94%EB%AA%A8%EB%A6%AC-ddr4-ecc-4%EA%B0%9C-%EB%82%A8-%EC%9D%BC%EA%B4%84-190%EB%A7%8C%EC%9B%90-7nnap2yx137r/
BON 남성 네이비 블레이저,"35,000원",대전 서구 둔산동,2시간 전,판매중,남성패션/잡화,다이버,"BON 남성 정장 set입니다 색상은 네이비(블루빛이 나기도 해요)이며, 스트레치 기능이 있어 편안하게 착용 가능합니다  상태는 매우 양호합니다살이 쪄서 바지가 너무 타이트해져판매합니다 간절기와 겨울에도 착용가능한 BON 제품이고 사이즈는 상의(100),하의(78)-허리30에 해당하고 슬림핏이니 참고하세요 중고 제품특성상 반품은 어렵습니다",7,0,0,9,39.1°C,https://www.daangn.com/kr/buy-sell/bon-%EB%82%A8%EC%84%B1-%EB%84%A4%EC%9D%B4%EB%B9%84-%EB%B8%94%EB%A0%88%EC%9D%B4%EC%A0%80-4tc1qjxkz7bo/
오아 아이브릭 미니 블루투스 스피커,"13,000원",대전 서구 월평동,끌올 2시간 전,판매중,디지털기기,안녕하세요,사용감 조금 있는 정도 입니다 크기에 비해 소리 크고 휴대용 으로 가지고 다니기 편해요,10,0,7,194,49.8°C,https://www.daangn.com/kr/buy-sell/%EC%98%A4%EC%95%84-%EC%95%84%EC%9D%B4%EB%B8%8C%EB%A6%AD-%EB%AF%B8%EB%8B%88-%EB%B8%94%EB%A3%A8%ED%88%AC%EC%8A%A4-%EC%8A%A4%ED%94%BC%EC%BB%A4-ehckhkavgphd/
