title,price,location,time,status,category,seller_nickname,image_count,chat_count,interest_count,view_count,manner_temperature,description,url
fossil 시계,"70,000원",대전 서구 둔산동,끌올 1시간 전,판매중,남성패션/잡화,bgk,9,0,7,119,37.6°C,스위스에서 사왔습니다. 시험착용만 해봤습니다.,https://www.daangn.com/kr/buy-sell/fossil-%EC%8B%9C%EA%B3%84-cbdye9fqb8gr/
Locpro 락프로 H60N 디지털 도어락 새제품,"54,000원",대전 서구 둔산동,끌올 1시간 전,판매중,디지털기기,웃자,11,6,7,194,44.0°C,Locpro 락프로 디지털 도어락 H60N 새 제품입니다 - 견고한 내구성을 가지고 있습니다 - 화재 감지 기능으로 화재 발생 시 경보를 울려 안전을 지켜줍니다 - 외부 환경 오염 차단 및 강화 소재의 견고한 구조로 되어있습니다 - 편리한 1회용 비밀번호 기능과 에티켓 기능이 있습니다. 번호전용 이지만 건물주 마스터번호 각각 설정할 수 있습니다. 추가설명입니다. 현재쿠팡 최저가 18만원 나와요~ 현장납품후 남은 7개 도매가로 선착순으로 나눠 드립니다.  구입시기는 25년 12월초에 구매하였으며 앞으로 무상as 1년 입니다. 사용설명서와 설치키트도 들어있어 누구나 드릴없이 설치할수 있으며 기존 노후된 도어락 철거후 단순히 조립하면 됩니다. 혹시 모르시면 유튜브에 검색하심 나오니 참고하세요~ PS 선착순 7명 입니다. 아직 싼타선물 못 받으신분 ^^ 제가 드릴께요~  단 네고문의는 정중히 거절하겠습니다. ㅡㅡ꾸벅 제가 도매로 받은 금액으로 드리니 참고해주세요~,https://www.daangn.com/kr/buy-sell/locpro-%EB%9D%BD%ED%94%84%EB%A1%9C-h60n-%EB%94%94%EC%A7%80%ED%84%B8-%EB%8F%84%EC%96%B4%EB%9D%BD-%EC%83%88%EC%A0%9C%ED%92%88-jbpaibk6yhqa/
Crucial-삼성 DDR4 8GB 3200MHz 램 4개,"70,000원",대전 서구 둔산동,끌올 1시간 전,판매중,디지털기기,메타당근,5,0,4,223,46.1°C,"DDR4 8GB 3200MHz 램 판매합니다 - Crucial 2개, 삼성 2개, 총 4개입니다 - 데스크탑에 장착하여 사용하던 램입니다 - Crucial 램은 마이크론의 엄격한 품질 기준을 준수하여 제작되었으며, 안정적인 성능을 제공합니다 - 삼성 램은 뛰어난 호환성을 자랑하며, 다양한 시스템에서 안정적으로 작동합니다 - 정상작동 확인하였습니다. - 개당 7 만원 - 4개모두구매시 개당6만원 입니다.",https://www.daangn.com/kr/buy-sell/crucial-%EC%82%BC%EC%84%B1-ddr4-8gb-3200mhz-%EB%9E%A8-4%EA%B0%9C-v3yu78stiu7q/
갤럭시 s24울트라 256기가 실버,"750,000원",대전 서구 둔산동,2시간 전,판매중,디지털기기,민머리캡틴,7,0,4,30,38.8°C,정상해지 완료된 폰입니다!!  연락주세요!!,https://www.daangn.com/kr/buy-sell/%EA%B0%A4%EB%9F%AD%EC%8B%9C-s24%EC%9A%B8%ED%8A%B8%EB%9D%BC-256%EA%B8%B0%EA%B0%80-%EC%8B%A4%EB%B2%84-k585m59dj9nh/
로케트 Plus Edition RP200-12 배터리,"70,000원",대전 서구 둔산동,끌올 2시간 전,판매중,디지털기기,얼죽아,7,16,33,1219,37.0°C,"로케트 Plus Edition RP200-12 산업용 배터리 판매합니다. 12V 200AH 제품이에요. 제조일자는 22년 7월 14일입니다 전기실 안 전기함에서 상시충전중이던 배터리입니다. 가로 525mm 세로 281mm 높리 223mm입니다. 무게는 55kg이에요 모두 12.7V이상 측정됩니다! 대용량이라 캠핑, 낚시, 아웃도어 하시는분들도 추천드려요. 1개당 가격이에요. 거래는 오정동에서 가능합니다",https://www.daangn.com/kr/buy-sell/%EB%A1%9C%EC%BC%80%ED%8A%B8-plus-edition-rp200-12-%EB%B0%B0%ED%84%B0%EB%A6%AC-o5be5zrpxu34/
삼성 외장하드 Y3 2TB HX-MK20Y3C,"120,000원",대전 서구 둔산동,끌올 2시간 전,판매중,디지털기기,땅꼬마,9,3,8,89,36.5°C,삼성 외장하드 Y3 2TB 모델입니다 모델명은 HX-MK20Y3C입니다 - 슬림하고 가벼운 디자인으로 휴대하기 편리합니다 - 데이터 보호 기능으로 안심하고 사용할 수 있습니다 케이스와 케이블 함께 드립니다 쿠팡에서 15만9천원에 구매했고 일주일지났습니다 사용도안한 세제품이에요! 필요해서 샀는데 필요가없어져서 판매해여 ㅠㅠ,https://www.daangn.com/kr/buy-sell/%EC%82%BC%EC%84%B1-%EC%99%B8%EC%9E%A5%ED%95%98%EB%93%9C-y3-2tb-hx-mk20y3c-u6r76mfbt3ks/
"갤럭시 a23 128gb 블랙, 화이트","100,000원",대전 서구 둔산동,2시간 전,판매중,디지털기기,잔소리쟁이,6,1,2,30,41.3°C,사무실에서 사용하던 폰 정리합니다!! 정상해지된 폰입니다!! 연락주세요! 개당 10만,https://www.daangn.com/kr/buy-sell/%EA%B0%A4%EB%9F%AD%EC%8B%9C-a23-128gb-%EB%B8%94%EB%9E%99-%ED%99%94%EC%9D%B4%ED%8A%B8-uirku8g8k4mg/
Mackage Moritz-X 블랙 패딩 40사이즈,"620,000원",대전 서구 둔산동,끌올 2시간 전,판매중,남성패션/잡화,당근도둑,11,2,1,53,37.3°C,맥케이지 모르츠 X 블랙 실버퍼 패딩입니다 사이즈는 40사이즈입니다 실착은 l-xl정도 됩니다! 네고 가능합니다  궁금하신건 사진 더 찍어서 보내줄수 있어요 편하게 연락주세요!,https://www.daangn.com/kr/buy-sell/mackage-moritz-x-%EB%B8%94%EB%9E%99-%ED%8C%A8%EB%94%A9-40%EC%82%AC%EC%9D%B4%EC%A6%88-szopsdkaeof5/
샌디스크 익스트림 프로 듀얼 드라이브 2TB 미개봉,"225,000원",대전 서구 둔산동,끌올 2시간 전,판매중,디지털기기,pacosanta,5,0,5,94,47.6°C,샌디스크 익스트림 프로 듀얼 드라이브 2TB  - 미개봉 신품,https://www.daangn.com/kr/buy-sell/%EC%83%8C%EB%94%94%EC%8A%A4%ED%81%AC-%EC%9D%B5%EC%8A%A4%ED%8A%B8%EB%A6%BC-%ED%94%84%EB%A1%9C-%EB%93%80%EC%96%BC-%EB%93%9C%EB%9D%BC%EC%9D%B4%EB%B8%8C-2tb-%EB%AF%B8%EA%B0%9C%EB%B4%89-ynczcq47g22o/
(새상품)스투시 소다캔 기모후드티M,"65,000원",대전 서구 둔산동,끌올 2시간 전,판매중,남성패션/잡화,모찌언니,7,0,2,25,63.6°C,"스투시 소다캔 기모 후드티 멜란지 그레이 색상 새상품입니다 사진에서 보시는 것처럼 택도 그대로 달려있는 미개봉 새제품이에요 기모 안감으로 따뜻하고 편안하게 착용하기 좋으며, 스투시 특유의 스트릿 감성이 돋보이는 디자인입니다 어떤 코디에도 잘 어울리는 활용도 높은 아이예요. ☑️가단56총장68 병행수입정품 환불,교환❌ 인사.찌르기사절 네고,비매너❌ 불펌금지😩 노쇼차단합니다ㅜ 선입금우선거래 택배(당일택배) 저렴히 올린 금액이니  말도 안되는 에눌은 대화는 정중히 사양하겠습니다🙏 택배요청시 3천원 추가비용~",https://www.daangn.com/kr/buy-sell/%EC%83%88%EC%83%81%ED%92%88-%EC%8A%A4%ED%88%AC%EC%8B%9C-%EC%86%8C%EB%8B%A4%EC%BA%94-%EA%B8%B0%EB%AA%A8%ED%9B%84%EB%93%9C%ED%8B%B0m-ucvwzjg1ys5a/
에르메스 여성 가죽 장갑 블랙 당근합니다,"65,000원",대전 서구 둔산동,2시간 전,판매중,남성패션/잡화,새하얀빛으로,8,0,0,0,30.7°C,"도톰한 퍼 안감으로 보온성 좋아요 착용 안 하고 보관만 해서 상태 좋아요 스마트폰 터치 지원돼 외출 시 편해요",https://www.daangn.com/kr/buy-sell/%EC%97%90%EB%A5%B4%EB%A9%94%EC%8A%A4-%EC%97%AC%EC%84%B1-%EA%B0%80%EC%A3%BD-%EC%9E%A5%EA%B0%91-%EB%B8%94%EB%9E%99-%EB%8B%B9%EA%B7%BC%ED%95%A9%EB%8B%88%EB%8B%A4-pr9bw5erumf1/
삼성 64GB PC4-2666 서버램 메모리 DDR4 ECC 4개 남 일괄 190만원,"500,000원",대전 서구 둔산동,끌올 2시간 전,판매중,디지털기기,kimjang,6,0,4,133,37.6°C,"삼성 64GB PC4-2666V-L 4DRx4 ECC  서버용 메모리입니다 개인 서버/워크스테이션 업그레이드 탈착 제품입니다  4개  남았습니다 개당 500,000 만원 일괄시 190만원 더이상 네고 안받습니다.  택배시 우체국 착불",https://www.daangn.com/kr/buy-sell/%EC%82%BC%EC%84%B1-64gb-pc4-2666-%EC%84%9C%EB%B2%84%EB%9E%A8-%EB%A9%94%EB%AA%A8%EB%A6%AC-ddr4-ecc-4%EA%B0%9C-%EB%82%A8-%EC%9D%BC%EA%B4%84-190%EB%A7%8C%EC%9B%90-7nnap2yx137r/
[자급제/미개봉] 아이폰17프로맥스 전색상 판매합니다,"1,920,000원",대전 서구 둔산동,끌올 2시간 전,판매중,디지털기기,직거래만,6,11,5,360,39.7°C,"개봉하지 않은 미개봉 새상품입니다 통신사제품이 아닌 자급제입니다. 애플공식샵에서 구매한제품입니다. 기종 : 아이폰17프로맥스 용량 : 256G 구매가능색상 : 오렌지192, 블루193, 실버195 상태 : 개봉하지 않은 완전새제품 통신사,알뜰폰 상관없이 유심만넣고 바로 사용하시면 됩니다 네고는 불가합니다 선물용으로도 가능합니다 현금인출거래합니다 계좌이체 195, 196, 198만원 안팔리면 업체넘깁니다 품절시 글내립니다",https://www.daangn.com/kr/buy-sell/%EC%9E%90%EA%B8%89%EC%A0%9C-%EB%AF%B8%EA%B0%9C%EB%B4%89-%EC%95%84%EC%9D%B4%ED%8F%B017%ED%94%84%EB%A1%9C%EB%A7%A5%EC%8A%A4-%EC%A0%84%EC%83%89%EC%83%81-%ED%8C%90%EB%A7%A4%ED%95%A9%EB%8B%88%EB%8B%A4-2hhans63x3rg/
"[자급제/미개봉] 아이폰17 화이트,블랙 판매합니다","1,140,000원",대전 서구 둔산동,끌올 2시간 전,판매중,디지털기기,직거래만,8,22,32,1592,39.7°C,"개봉하지 않은 미개봉 새상품입니다 통신사제품이 아닌 자급제입니다. 애플공식샵에서 구매한제품입니다. 기종 : 아이폰17 용량 : 256G 구매가능색상 : 화이트, 블랙 상태 : 개봉하지 않은 완전새제품 통신사,알뜰폰 상관없이 유심만넣고 바로 사용하시면 됩니다 네고는 불가합니다 선물용으로도 가능합니다 현금인출거래합니다 계좌이체 117만원 안팔리면 업체넘깁니다",https://www.daangn.com/kr/buy-sell/%EC%9E%90%EA%B8%89%EC%A0%9C-%EB%AF%B8%EA%B0%9C%EB%B4%89-%EC%95%84%EC%9D%B4%ED%8F%B017-%ED%99%94%EC%9D%B4%ED%8A%B8-%EB%B8%94%EB%9E%99-%ED%8C%90%EB%A7%A4%ED%95%A9%EB%8B%88%EB%8B%A4-pdcioriebtkv/
어항 케이스 RTX2060 장착 본체,"595,000원",대전 서구 둔산동,끌올 2시간 전,판매중,디지털기기,스더,5,2,9,396,36.9°C,컴퓨터 잘 아시는 분이면 더 만족하실 사양입니다. RTX2060 들어간 가성비 본체예요. 사양 i5-9400F / RAM 16GB SSD 256GB / RTX 2060 파워 600W  본체 59만5천원  가성비 좋게 가져가세요!  문의주세요,https://www.daangn.com/kr/buy-sell/%EC%96%B4%ED%95%AD-%EC%BC%80%EC%9D%B4%EC%8A%A4-rtx2060-%EC%9E%A5%EC%B0%A9-%EB%B3%B8%EC%B2%B4-sxu7vnp5gnc9/
가성비 사무용 PC / 윈도우11 + 오피스 풀세팅,"320,000원",대전 서구 둔산동,끌올 2시간 전,판매중,디지털기기,스더,5,3,11,785,36.9°C,"여러 대 구매 후 사용하지 않고 보관만 해둔 PC입니다. 사무용, 재택근무, 학업용으로 충분한 사양이고 어항 케이스라 책상 위에 두면 보기에도 좋습니다. 윈도우11 정품 및 오피스(엑셀/워드/PPT/한글) 설치 완료. 코드만 꽂고 바로 사용하세요. 사양 i5 6세대 SSD 256GB 삼성 8GB RAM 인텔 내장그래픽 500W 파워 32만원에 판매합니다.",https://www.daangn.com/kr/buy-sell/%EA%B0%80%EC%84%B1%EB%B9%84-%EC%82%AC%EB%AC%B4%EC%9A%A9-pc-%EC%9C%88%EB%8F%84%EC%9A%B011-%EC%98%A4%ED%94%BC%EC%8A%A4-%ED%92%80%EC%84%B8%ED%8C%85-p34trz73n9k4/
롤 배그 로아 잘 돌아가는 고사양 PC,"800,000원",대전 서구 둔산동,끌올 2시간 전,판매중,디지털기기,스더,5,0,6,350,36.9°C,"롤 풀옵 / 발로 풀옵 / 배그 상옵 / 로아 상옵 등 원활하게 돌아가는 사양입니다.  고사양이라 작업용으로도 쾌적하게 가능해요  윈도우랑 오피스 다 정품인증되어 있으니 코드 꼽으시고 바로 사용하시면 됩니다  -CPU i5 10400F -SSD 256기가 -그래픽카드 RTX3070 -램 16기가 -파워 700W 편하게 문의주세요 ^^",https://www.daangn.com/kr/buy-sell/%EB%A1%A4-%EB%B0%B0%EA%B7%B8-%EB%A1%9C%EC%95%84-%EC%9E%98-%EB%8F%8C%EC%95%84%EA%B0%80%EB%8A%94-%EA%B3%A0%EC%82%AC%EC%96%91-pc-147axcbr7zum/
나이키 베이퍼맥스 Off-White,"66,000원",대전 서구 둔산동,끌올 3시간 전,판매중,남성패션/잡화,히히,7,0,3,1313,42.9°C,"나이키 베이퍼맥스 Off-White 제품입니다 전체적으로 사용감은 있지만, 독특한 디자인이 매력적입니다 ""AIR"" 문구와 ""SHOELACES"" 디테일이 돋보입니다 사이즈 240 경기가어려워서 팝니다 쿨거시 에누리해드림",https://www.daangn.com/kr/buy-sell/%EB%82%98%EC%9D%B4%ED%82%A4-%EB%B2%A0%EC%9D%B4%ED%8D%BC%EB%A7%A5%EC%8A%A4-off-white-im2rw4mghxng/
코닥 미니샷3 레트로 C300R 옐로우 + 카메라 가방 + 필름 130매,"180,000원",대전 서구 둔산동,끌올 3시간 전,판매중,디지털기기,멍멍,5,0,3,42,38.5°C,코닥 미니샷3 레트로 C300R 옐로우 색상입니다. 즉석카메라도 되고 폰과 연결하여 사진 인화도 됩니다. 전용 카메라 가방과 카트리지 130매(30매*4박스+10매) 함께 팔아요.,https://www.daangn.com/kr/buy-sell/%EC%BD%94%EB%8B%A5-%EB%AF%B8%EB%8B%88%EC%83%B73-%EB%A0%88%ED%8A%B8%EB%A1%9C-c300r-%EC%98%90%EB%A1%9C%EC%9A%B0-%EC%B9%B4%EB%A9%94%EB%9D%BC-%EA%B0%80%EB%B0%A9-%ED%95%84%EB%A6%84-130%EB%A7%A4-jc16yez8a532/
컬러풀 RTX 3060 BATTLEAX 8GB,"100,000원",대전 서구 둔산동,3시간 전,판매중,디지털기기,건실한청년,5,1,5,185,39.3°C,"컬러풀 RTX 3060 BATTLEAX 8GB 그래픽 카드입니다 모니터 깨지는 고장 있습니다  As 기간 X  수리해서 사용하시거나  부품용으로 구매하세요 중고 거래 특성상 교환 , 환불 X",https://www.daangn.com/kr/buy-sell/%EC%BB%AC%EB%9F%AC%ED%92%80-rtx-3060-battleax-8gb-1d4ct7saku1w/
나이키 구스,"60,000원",대전 중구 문창동,끌올 3시간 전,판매중,남성패션/잡화,유리,11,1,22,2198,41.1°C,나이키구스  후드다운 550필파워 서울롯데매장에서  32만원대에 구매했어요  브랜드: 나이키 사이즈:100 충전재: 거위솜털 75% 깃털25 엄청 가볍고 따뜻합니다  옷컨디션 좋은편이예요  하자한군데도 없고 깨끗합니다  엉덩이 살짝덮는 길이감 모자 탈부착안됩니다. 시간맞추기가 어려워 당분간 택배거래만합니다 ⏩️택배비포함 가격입니다.,https://www.daangn.com/kr/buy-sell/%EB%82%98%EC%9D%B4%ED%82%A4-%EA%B5%AC%EC%8A%A4-opxyk698dypy/
